Counter:,Time:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,T8:,O2:,O1:,AF3:
109,1.8450734281584371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1.8602559935680867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1.8761347793734016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1.8937305952085668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1.90995791886552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1.9251866708861842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1.9411176304557933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1.9556180880453655,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1.9701266710572458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1.9847857882087292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1.9994372075917104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2.014951632354576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2.029922509130409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2.0444319474499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2.060654566914991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2.075950032929343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2.091177929642396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2.1064999101927007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2.121649546259312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,2.1367303300632075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,2.151919737933748,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2.16766381279027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,2.1822972707134123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2.1978202485523917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2.2119849979044965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
