Sampling Freq:,Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
,118,3.3809869801077257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,119,3.4093818491283363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,120,3.437557759868625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,121,3.465436451849492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,122,3.4933215586237276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,123,3.5219456495940507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,124,3.551128255240352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,125,3.580151346358215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,126,3.6087095787832846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,127,3.6376659560501126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,128,3.6656763651214854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,129,3.693344224226964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,130,3.7209227038781703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,131,3.7483549262405678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,132,3.777130833987286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,133,3.8060115166923616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,134,3.8349871383392955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,135,3.8639037438872363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,136,3.892387564709228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,137,3.920456562226703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,138,3.9480085273986516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,139,3.9763918497911983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,140,4.00573824649485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,141,4.037734380512713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,142,4.066375577598686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,143,4.0954841992948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,144,4.1245299560159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,145,4.156798932578384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,146,4.188413600217248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,147,4.223017561565979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,148,4.253228672415747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,149,4.2836018637113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,150,4.312896942068001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,151,4.342292518854147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,152,4.371254027955669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,153,4.400193299106847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,154,4.430371053031097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,155,4.45887240762163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,156,4.4896416054944845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,157,4.521561617297704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,158,4.551561467619192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,159,4.582793813573275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,160,4.611613341914901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,161,4.641029018386936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,162,4.670770138709215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,163,4.700292728404063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,164,4.728643121523984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,165,4.757824871864503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,166,4.786574692784854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,167,4.815402774184306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,168,4.845209753051838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,169,4.877777231332416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,170,4.907097968862593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,171,4.9361779378149935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,172,4.96478278440521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,173,4.993193904235688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,174,5.021913789453652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,175,5.052367379492761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,176,5.082000731286444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,177,5.111172645610464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,178,5.1400802704476884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,179,5.16807656697365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,180,5.196350837878927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,181,5.224257754950616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,182,5.252702231706613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,183,5.281515345254871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,184,5.3101210471508695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,185,5.3405917433056285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,186,5.3688467698308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,187,5.396599731861637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,188,5.4246178386850525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,189,5.453135444085453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,190,5.48134129052813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,191,5.512092099326661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,192,5.541314049038957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,193,5.569554963018716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,194,5.597890388287443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,195,5.626127025738289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,196,5.654962377236892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,197,5.683701506834963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,198,5.711856034930688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,199,5.7402654441496015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,200,5.768068441568716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,201,5.795298384113551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,202,5.823611571431932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,203,5.852023118915302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,204,5.880926894876504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,205,5.9101629571342125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,206,5.93889438898024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,207,5.9675774960495565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,208,5.995475004757639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,209,6.023448635680364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,210,6.053015273623011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,211,6.082693528970276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,212,6.111131163280012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,213,6.13993444081177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,214,6.168768081698809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,215,6.197535864040593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,216,6.225770790879874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,217,6.254113913900643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,218,6.281957110691536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,219,6.310868584404782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,220,6.342795866307153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,221,6.371544831921723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,222,6.39988068484334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,223,6.428643335350429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,224,6.456692233182015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,225,6.485057166500239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,226,6.5141089103618155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,227,6.545199703208893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,228,6.574129138343572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,229,6.602186161580092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,230,6.63030049030404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,231,6.658366921904167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,232,6.686612967718622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,233,6.714790161417584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,234,6.743823088551946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,235,6.77316691933825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,236,6.803017091147799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,237,6.833455713335714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,238,6.862460415379253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,239,6.891060985440557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,240,6.9194396036513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,241,6.950566746994134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,242,6.979689053582769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,243,7.010944065140088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,244,7.043868633584864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,245,7.072845110537581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,246,7.101408902450237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,247,7.130726646410174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,248,7.159483309776786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,249,7.2029948531974535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,250,7.234017649234822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,251,7.262797833510453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,252,7.2925209924112995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,253,7.321098896869367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,254,7.350921271240985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,255,7.397154825314486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,256,7.426544414960153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,257,7.454978200393868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,258,7.483871712685682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,259,7.514635778723841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,260,7.543550673660217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,261,7.576827628087386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,262,7.607070812903999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,263,7.637090335258484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,264,7.669378983853965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,265,7.698923383846267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,266,7.728664504168546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,267,7.757135923056691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,268,7.7866118985863935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,269,7.817531630276969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,270,7.853426675704398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,271,7.889406396404294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,272,7.924494888478817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,273,7.959109113496939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,274,7.991789492140809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,275,8.026408848993626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,276,8.063556062086647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,277,8.099073062358206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,278,8.132167409000811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,279,8.16407031468838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,280,8.196274288011393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,281,8.230456155956457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,282,8.266442291449723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,283,8.30157996360674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
