Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
96,7.192883428236637,-49,-11,-1156,-10,-7522,-6268,4863,4772,7916,6239,-2249,28,1526,83,-5397,4942,-6315
97,7.260010391965258,-36,-3539,5251,2917,483,4501,4690,-4288,-566,3464,-7725,57,6378,-22,905,-1263,1123
98,7.335081008148926,-33,-4226,2164,-4329,5763,4780,-3237,44,796,-4807,7066,84,922,137,-470,-1772,653
99,7.404746519440032,-11,6316,-3099,693,1405,2168,2323,-7583,879,2300,4600,103,6683,136,-2399,2064,-7826
100,7.476859060574894,150,-2541,-4024,-6100,-4029,-3924,-4531,6328,-5001,-7815,2300,23,4371,9,-4644,-8082,-145
101,7.543538699379262,25,1090,-5577,1692,-1493,-3032,-3646,1446,1139,3666,6687,96,-457,113,-4761,-1014,-2638
102,7.616830279535312,128,-5299,2227,6936,4045,1442,3474,7945,5857,-3019,4972,103,-519,49,-5795,-241,840
103,7.683064304026994,106,-1537,-2285,603,8040,-3897,-8104,-6681,-244,2501,7122,250,2865,37,-2753,4480,-1113
104,7.756482897091747,142,57,613,6419,2896,-5650,8031,2444,-1274,6279,4933,229,-5259,-41,4206,-8115,-1091
105,7.823975076389497,-73,-2821,628,2706,2587,3661,2148,-7872,1245,4067,-913,27,-3696,132,-5352,2576,-5966
106,7.889210103727208,145,5592,928,5507,-958,-2774,-4145,-3751,3666,5142,-2312,231,-4222,39,7178,-6404,3131
107,7.963612726094738,72,4437,-4832,-56,7111,-3565,7262,329,-1503,-2202,-6674,116,650,-20,-2142,-1699,5871
108,8.028477406028623,69,6774,-3455,4000,4899,7194,1033,1834,5396,5567,-5655,227,-6043,142,7997,-227,4548
109,8.096558463357631,-49,3576,4836,-361,-3797,-4539,-3155,-1586,-5121,7019,-6695,30,6587,-17,3085,-2245,3099
110,8.168967795599023,49,6453,-5800,7500,178,8048,-7412,-486,365,-1890,-6945,252,6801,24,1443,-1155,-5973
111,8.234301610754615,-53,-5584,1416,772,-3004,1886,-1615,2912,7874,2958,-634,59,-4196,67,-3957,5459,-2831
112,8.303102835552496,-34,-5672,7708,-5199,5370,-1636,289,-743,-4101,8061,-8,16,-5011,20,5814,337,2821
113,8.375520293198822,88,985,151,4442,-2417,-3723,6890,-7710,-3497,2916,-4207,39,-2502,-38,3403,1452,3701
114,8.445138335019,-28,5593,6706,4100,1211,4126,2401,-4070,2588,-438,7056,91,6127,-93,5931,8190,-2548
115,8.515814390092137,-49,212,1840,-2168,7532,-8006,4737,-6778,6426,-3848,-1364,254,-7357,144,-6285,-6362,-7876
116,8.582302440401223,102,7837,4192,131,742,-1831,-2159,-2339,2701,-4726,4487,247,-1720,-82,2022,-5231,-7651
117,8.657080542007275,56,-2365,-262,5898,4119,6830,-2445,-96,-6922,1554,-7742,52,5425,-8,-5082,7987,-2461
118,8.724464097470648,133,2030,4113,-328,-1973,2648,5215,3858,-4621,1122,-4178,90,-1867,-12,4177,-3238,5718
119,8.798599864434033,35,7664,646,-7160,2905,1492,-7803,5679,772,6437,1902,230,-7496,128,5537,5394,-5981
120,8.868253829097075,102,2086,1468,1188,-3191,5788,-7955,-4967,-267,-6954,4330,26,-4679,24,-1003,7989,5256
121,8.942945972471984,-39,2865,5950,5307,-1078,-1096,6338,2471,6511,4524,1287,23,-5332,11,-6304,5868,4048
122,9.016468912842203,-67,1912,-1853,-1271,1978,2570,-6059,2635,4068,-4080,660,32,6431,-96,-4401,3765,-3819
123,9.08487712463302,83,944,-3755,-6853,-6097,-1843,-5036,4485,-4734,6749,7906,227,1854,-53,-2352,2650,2246
