Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
68,7.143202991859627,40,-2637,2376,1899,-5083,-2340,5669,7437,-4923,3102,3655,124,284,20,-362,66,-666
69,7.209927534217577,-77,-4608,7495,-7390,-2877,6449,-3728,2660,-2902,6560,-6178,40,-4193,-42,3365,4009,4633
70,7.277772954803504,125,910,-5210,7567,-5864,-5128,7582,-429,296,-5735,2544,59,7499,-79,-6013,6369,5208
71,7.3537288124720686,147,-5610,-5854,5337,-7342,-5869,-7528,-6964,7460,-5156,-1703,31,4396,-92,-4474,-4150,-3240
72,7.421567818264627,-78,126,-90,-5072,-3981,-4435,-1487,-7092,-534,7710,-1756,242,-2946,97,-4778,-5531,-6261
73,7.494234169893664,-24,5370,-355,2753,-7228,1545,5201,-2338,-5930,-3961,2637,98,-6966,-45,-5030,3406,-4376
74,7.565630392435676,45,7986,-3667,-3381,8044,3704,-4343,-7314,-523,5550,5487,116,1494,-41,4399,-1790,1675
75,7.635458839478349,32,3390,4952,-3132,8062,3336,-6761,6604,7779,-7725,7237,240,7733,130,1708,6740,-7429
76,7.700717387725079,137,-3060,6882,2343,-6040,6797,-5210,-4741,-5364,-6764,4605,54,-5105,-29,-3436,-264,788
77,7.775499338207151,-52,2585,-7194,8167,-3105,-7896,-1533,-3531,223,4635,-5842,37,-7066,93,2821,-6205,-1544
78,7.840926381693035,82,-2121,-6720,-6262,5850,-6795,-2522,-6945,1951,7835,4174,82,-2977,-31,-6844,-4435,7613
79,7.906780222764391,93,2381,7493,-2510,-711,-1436,3646,4260,1346,2072,723,126,1212,-77,-6136,-4052,-4856
80,7.982507286136134,14,4356,3680,5694,-7733,-4465,-5479,-8103,7754,332,5109,96,2903,53,6896,5963,-1009
81,8.058147535970955,14,-200,5747,-7525,-4487,-173,-7522,320,-5349,943,-3822,109,3757,-47,-5689,6282,4171
82,8.124987972262433,-69,-3830,1986,-4483,-6435,-7358,-313,7977,4467,-1156,5877,105,2738,122,5100,5185,6199
83,8.200698357171419,-43,-4380,8105,-1819,1117,6406,-46,-5250,-7609,7445,1967,105,4833,-2,1045,1540,3491
84,8.270140206000399,-69,-5617,-580,-4154,-2408,2742,3855,-6754,4022,-3374,1293,239,-6746,-97,-152,-4684,-7316
85,8.343463860123292,-81,-2745,-1386,-4868,-1583,361,-5415,-3511,3683,-7066,-4175,230,-2614,111,2488,922,2842
86,8.412697441994231,-104,-7652,697,832,4594,4479,-5707,4059,-146,3848,-3235,42,7710,83,2496,-3203,4974
87,8.484373349527123,-43,-1726,991,3788,-7967,-2353,-3431,932,-7642,2479,-5327,48,1473,6,-7831,-4153,-613
88,8.552485625517193,147,-1329,3473,2264,-7475,-6487,-7596,-2874,-958,-4171,5353,40,4128,-101,-6189,-2413,4443
89,8.627188460214382,-87,5862,4012,-5647,1444,4939,-1177,-8010,-598,-3176,2550,94,828,-6,7574,-7011,4582
90,8.696100874763989,-17,-5254,-5738,5058,-855,-7013,4936,-3944,-330,6272,-1170,87,7270,-73,3416,-1509,-7377
91,8.770586461792421,64,-5750,6682,-51,8035,-1780,-2098,-1596,4660,-5216,-1630,236,1354,11,6414,5254,743
92,8.84533633830765,61,2899,-2270,7273,-7189,-6872,5017,-6356,-523,4007,-435,20,2698,72,-4609,5892,-5510
93,8.91490135116931,117,4751,3894,2533,-4624,-6656,-2607,5768,6430,4952,1728,44,-1211,-26,-4893,-1552,-5062
94,8.990578806805669,50,3514,1490,7052,2574,-5748,5238,6175,-7798,3415,7500,47,-7889,-105,-6787,-4876,2250
95,9.06678227549827,-40,6008,5520,-7612,-4408,2636,-1489,2990,-5378,-8062,-1404,119,-4076,-60,-5154,-2009,-559
96,9.13485691803391,-88,4262,3946,-6871,3377,-2816,3405,4924,-2420,6091,-766,127,-7961,-75,-6326,5832,-5284
97,9.211569721319993,-101,-2244,6185,2809,1683,100,1400,-4629,-2217,-3706,-368,61,-1946,118,1847,-5062,7070
98,9.279620842946613,23,-5485,1939,7249,1205,-1843,7380,5758,1126,7903,1413,55,1445,140,7358,-5851,1487
99,9.356942623949845,71,3066,6565,-1470,6686,-993,-5031,6939,3498,4562,2398,229,-7768,-80,-4180,-3582,5497
100,9.438311284263015,-32,-3092,3610,-5251,-5864,3845,-4981,-7272,-8063,-6266,4763,54,7662,-106,5530,3598,-2559
101,9.505636251280286,-105,-5799,2265,5915,-2798,-7344,-3194,-2619,7802,3630,6022,231,4436,101,7439,3844,5039
102,9.57742890805249,50,-811,4913,-3178,-1147,3423,2566,5062,-105,1882,681,97,-147,148,7833,-2863,7947
103,9.650093976722854,89,-1400,-6710,22,6451,5418,-5273,-7444,-2048,3787,-2827,249,679,14,-7250,-1438,-8153
104,9.716783879196612,-93,4809,4027,-6407,-6192,1956,-7311,-1624,1048,5076,6979,54,-2680,-29,7903,2682,3074
105,9.783319826629517,85,-3170,6183,-2106,-6395,1156,7619,5493,4654,-5804,-8095,124,-4668,84,7362,5051,-2269
106,9.85435511013131,-81,5231,5265,-4109,720,7442,-2974,-4873,-2001,-715,4569,16,2485,50,-4879,-7990,5746
107,9.922303167411139,-87,3062,7751,2029,-5621,7100,3412,-6074,6945,556,-4047,248,7977,-34,6669,-3245,-5110
108,9.997239500586954,29,4100,4307,-7720,385,-5985,-2065,-2834,-6140,7510,5117,251,1605,14,7478,4195,4254
109,10.068676777806525,109,-3022,-3589,443,6405,-7175,-282,-4250,-6817,1373,-6075,115,-7702,-22,871,3107,-715
110,10.140286399141273,119,-5786,3169,1894,82,-1110,434,-7289,3164,4836,-6729,109,486,76,2132,2097,-4478
111,10.216909395320194,-36,-5250,-7270,3350,-1969,-2512,2029,7230,-5217,5475,4301,31,4635,-37,-5896,7636,-3798
112,10.285738845208897,27,-663,5959,1100,-2572,6012,5259,3019,4700,3094,-1383,61,-411,67,8017,4055,-3998
113,10.36263511158533,55,-2220,-3877,3206,-1421,3180,1603,6416,-5268,-4048,-7443,103,-1439,-104,-1607,1111,6531
114,10.429082534869748,-68,-3074,2573,6314,6616,-2743,-7335,-5637,1481,4411,-3581,104,7965,74,-7225,-5694,1209
115,10.504111668722965,-19,-5350,4090,2831,-7547,-4337,1618,-4119,-3774,-1864,-4966,42,-6731,-56,128,6759,-4331
116,10.579292191699684,131,-3575,-6518,-5837,4877,6149,-3804,-5776,-4624,7018,-7520,16,-3251,-54,3544,2877,-6372
117,10.644956154887325,-96,2344,-5267,4547,-2538,4333,-140,-1935,1914,313,-7959,22,911,127,-6877,6337,3980
118,10.716134274454795,-73,420,4225,-5826,1199,7651,2509,5824,-2354,-4272,-2463,86,-137,19,1283,1940,-6434
119,10.786079898389673,57,6505,-4301,669,4394,-2744,-118,4462,6537,2887,3609,42,-4882,37,-5284,801,-3943
120,10.854636933386647,62,-3085,7091,1161,668,5133,-7697,2682,-4897,7003,-6364,50,-2112,36,715,-1025,-5426
121,10.92951125689323,-34,7119,2470,-5482,8011,-326,-7474,2402,-2391,3483,-5810,20,6702,143,-2536,-2283,4425
122,11.011731801765778,57,7621,3503,-5621,4866,-7016,-7862,4342,4129,7733,-5924,31,-6639,138,-7082,-4308,863
123,11.085548967325181,129,4414,-6519,4161,-2513,-5901,-7875,2565,4670,-4036,4743,238,-7542,-96,2705,1912,-5905
124,11.156237851985058,32,1072,-3647,-2016,5516,4639,4550,-5014,-1346,5414,-7347,19,-3302,126,6635,-2245,-631
125,11.231003551657261,61,2612,-156,3925,1947,-873,184,-44,5761,-4403,-7920,111,-7995,40,679,-6714,-1785
126,11.305634113015829,44,4846,-3989,2785,-3926,-7038,5863,-7513,-5208,6741,-4158,238,-3691,-89,-2890,-6685,3784
127,11.376485933427274,9,4396,673,6027,2584,3722,-4765,2184,-1212,-5178,-6913,43,6771,134,-8189,5636,5687
128,11.455792023845925,127,6701,-8164,-6267,-7500,-5354,6522,2345,3880,-5179,4033,61,-2767,-86,-7366,-3756,1256
129,11.533857065574155,39,3949,-3650,3438,-4069,-1268,-1501,1595,2664,161,-2080,113,6148,134,4790,-6792,-404
130,11.611008213073777,-28,-6525,1602,7556,3865,7910,6202,-5131,-1129,4916,-915,59,7947,81,-173,4301,4969
131,11.690520432186013,-1,-6112,-2153,3860,-3123,-8045,-7238,-7649,6824,-3510,-384,234,-6508,138,-7342,2850,5406
132,11.761293136812574,39,7304,1905,2965,2315,6241,5560,7896,913,-1529,-7058,249,1466,9,2589,-4158,5801
133,11.831553085622524,64,-477,-4297,7828,6929,4929,-5867,-7169,-4644,4552,5996,125,-5085,28,4516,4779,-4039
134,11.90734942876265,-90,5689,5772,-7697,-3685,-4691,1826,5060,-4491,4331,-6719,18,-394,108,-4838,1554,2516
135,11.97290818933904,-23,-4515,-494,-3645,4908,948,-2471,6479,4570,5489,1647,244,1897,13,5824,-4079,-2883
136,12.094364176372606,124,6574,5134,1986,4982,-7998,2416,635,4276,-1490,6179,233,209,124,1228,946,6845
137,12.17270291595124,-34,4829,-2523,-4608,1475,3415,4494,-2498,-2841,2833,2534,85,-4554,1,-5663,7452,-3604
138,12.252471299145336,76,263,2612,6001,-422,-1310,-945,-2322,879,-2232,7136,50,739,38,-1726,7042,1317
139,12.322595254335866,58,2473,-1838,-4534,-352,-7560,5413,256,3802,525,4962,252,3174,-11,-3252,-1888,3703
140,12.396891391133472,104,-1366,354,-3959,1212,-1056,-1545,-6499,-6081,-5045,76,124,-4568,94,4583,2829,-5401
141,12.471362865616493,40,2409,7724,1409,-2440,-6535,-5196,520,-5482,-1537,-7052,113,7237,72,-6771,2966,5760
142,12.54435979293047,26,3653,-5003,378,208,1696,-3503,3087,2609,2234,-3207,93,2385,65,6618,1663,3389
143,12.614796362384507,-58,3522,7163,2955,7526,7985,-7761,-317,-6480,1746,-2048,122,7288,-88,3500,-6548,2982
144,12.694113144125438,-28,3000,2981,-4718,1917,247,4093,7282,-6078,-4372,5611,27,675,85,-2394,-3504,-3822
145,12.764187919233475,-11,1187,-1533,-4568,-3694,2412,-5081,-6002,-1493,-2822,573,23,6084,113,7267,7931,-3853
146,12.835079083710916,-47,250,-1136,-3097,-166,-2261,-3843,1947,2198,-1341,2579,47,-6032,-97,-4620,4021,5874
147,12.908767098097158,51,4445,114,3788,-6233,-3246,1072,-6313,6978,6616,3211,86,2897,-40,-3694,-710,99
148,12.966384344482957,100,-7138,6886,865,-5797,6142,-8091,-5117,6083,-183,-357,18,3078,-82,5616,-2155,-3387
149,13.042272632994704,-47,-6344,-6790,-7009,-159,-4205,6029,7727,1318,-3707,-6563,40,-7126,43,-4906,7992,2487
150,13.117095638154336,22,-8152,-2938,6257,6987,-7853,1156,-4531,8160,-3587,1482,33,7062,132,1203,1336,-219
151,13.188505117935977,135,3056,-7715,-6069,5510,-6063,-5347,5887,-5074,-885,2511,230,-436,-75,-3763,4977,3465
152,13.2587124654403,131,-3254,-5158,3719,-5062,-1493,-4034,-3598,-4903,5744,5796,24,7923,30,-3136,-7970,2284
153,13.324305438247992,-35,-474,4086,3452,-8021,5796,-5178,6632,-851,-4253,6184,59,6692,54,-428,7252,13
154,13.390568115483386,-9,5160,5383,-3457,-1540,-2947,-7293,1335,2083,5374,-2568,101,-819,47,-6171,7424,1191
155,13.462586572982174,-9,-6638,-6961,2615,2380,-2668,-1502,-3549,3130,-7464,7970,39,7982,-64,-480,-263,4817
156,13.529810613917109,-64,-2429,-6745,1579,-2865,4979,-2461,5506,12,-985,-2911,27,-1876,73,-6912,-4773,-1050
157,13.598884253606718,-47,7401,-2914,-5688,5658,-2134,2191,-977,-3097,-49,5658,92,3122,35,2345,-486,-2703
158,13.670099578975728,121,-6353,-6637,4240,5119,542,6934,3241,-5445,2693,-4177,94,-495,26,7775,4691,-2741
159,13.73658933989638,22,5063,-7187,7974,-4185,-268,-7665,-1525,-2999,-3556,-7586,111,-4821,98,-1436,-5290,5938
160,13.805870391238248,-29,7270,4764,-7767,-6140,-1292,6557,-2289,1222,3919,-905,236,-6748,19,-7630,-7099,-6875
161,13.870117968050053,114,-7300,-3042,-7636,-4005,3200,2706,-6794,5861,6555,2000,57,-5389,130,677,-580,5693
162,13.937841935214864,33,4192,-4606,3108,6010,3825,-417,-4741,-5530,-5981,-1292,125,359,-20,-5286,-59,-7658
163,14.006294195253481,-23,2638,7121,1191,-6081,-815,-5964,-3957,1756,2792,-1519,112,-3698,144,6592,-5069,-7923
164,14.076415584526663,-1,1080,3970,-3333,2861,7260,-4616,4615,2344,1614,-499,232,-4137,-9,-481,-5815,4765
165,14.14705315083959,133,-4362,-867,-5374,6218,5785,1304,-1209,-8153,5587,3546,106,-5169,-41,2438,-3309,-3565
166,14.218594775364627,-37,2608,6638,-2723,5532,2814,-3460,4189,-288,-2069,-6825,232,3696,-91,-3663,-5620,8156
167,14.29018215874903,113,-2180,2847,-4002,-7946,2796,-48,3715,-3828,-2419,-7912,235,-5431,66,3912,-5607,-3644
168,14.362708240229734,-49,-1334,-5493,-2579,7633,2110,5374,-660,-4978,-540,5062,116,-1510,12,-3395,-3105,4364
169,14.432447735471028,82,-2417,-3180,2188,780,-5561,6495,2919,-4113,-1721,-4101,39,3774,22,-7774,2014,-2358
170,14.506778939805717,14,4812,-6259,1649,1502,4759,7803,403,-6967,-361,4793,243,-6832,-95,3264,6644,-2115
171,14.574157363434395,116,1482,-3501,-3473,-1986,1801,474,-1636,4785,5426,-8067,56,1870,79,-4646,-1203,1447
172,14.647277027128162,-94,-5626,7610,2335,471,4452,6330,7721,-5502,-7226,3359,62,2021,-33,-6146,2570,-2018
173,14.716758220023136,-33,890,-616,-4019,6790,3895,-11,7755,-8103,-2503,1569,228,-5834,23,2651,5896,-2682
174,14.790282871004921,-81,-1760,2282,-246,5437,4934,-7855,-4308,869,-7257,-6295,43,1255,43,-6206,475,-2359
175,14.858979748497335,-43,-1040,4610,5375,4930,2104,961,-1634,-2116,6469,-2320,35,7034,134,2491,1595,-1043
176,14.931933055216403,97,-2692,5534,3345,-6108,7136,1086,1114,-2077,-2332,6951,45,-1262,122,7727,5624,-6332
177,15.007123841862514,18,-7621,-986,-5687,-3164,-381,6066,4725,6220,-3238,3672,48,7282,127,3128,-4683,821
178,15.073422441940775,22,-7457,3148,-2332,-5731,-4034,3929,-1478,-7102,-4159,-1205,244,-985,-22,4472,7426,-3397
179,15.147285794012431,29,6338,2444,7,-1959,6431,-1877,7144,4991,-3897,6842,106,-8094,149,3387,6743,-5424
180,15.21431995706365,112,4654,7816,1245,-7620,6750,-4175,6120,1358,1848,5233,229,4467,6,1309,-6356,-1760
181,15.284438352766594,44,1936,6889,1545,-5421,-650,5047,-4637,2498,1717,-3881,111,4583,33,-7617,-6105,-5127
182,15.358308974937403,142,-6114,-7593,-4759,4635,-1150,2989,-2183,4880,-7217,4662,83,-357,-39,8176,6005,101
183,15.426614122381428,-57,2369,6560,-6062,3598,-6186,7809,6613,-7323,-6659,-2995,59,-3071,87,-6434,343,3680
184,15.500707124055689,103,1507,6820,4720,-3344,999,-4196,720,-6606,7444,6511,242,4240,10,4753,2133,-1180
185,15.577748792415148,131,6856,2251,-7648,1961,-7010,-4360,1854,-2967,4862,6553,125,-2444,145,-767,-2553,-3519
186,15.64679249640237,-1,-7160,7224,5211,-953,3446,8012,5662,103,8025,8032,60,-6145,140,-1105,-6410,-7032
187,15.722068813626732,39,83,-7948,5361,7978,4572,7537,5220,-4235,-2836,4618,32,2649,-50,1769,3490,-492
188,15.797535436387701,100,-5739,5726,-5525,-3268,6534,-5856,3567,-4008,5665,-1185,55,5688,83,-6419,5460,4891
189,15.862943663146371,115,-7802,-21,-7686,-2729,-97,-7454,-1091,76,-1015,3217,119,2408,-90,-3778,-5015,460
190,15.93507202743821,66,-609,-8160,-8075,-6472,3634,-4616,4119,5926,-6398,-1615,84,-6765,-74,-812,4393,-7008
191,16.004262844020023,18,-1466,-6101,-1798,-2598,4073,3637,1108,6616,2376,-7466,47,2259,-21,-5443,7968,1255
192,16.08064165039804,-10,4312,7117,-78,5326,273,401,-952,1458,4282,-2039,38,6332,148,1266,-7690,-766
193,16.148708595181635,1,-6278,-2098,4303,1322,-3108,6056,6197,5365,3239,-829,117,-4452,27,5837,871,735
194,16.228870419035687,-97,-1875,3208,3502,4528,-4931,4460,-5034,2222,1456,3082,94,5928,81,6390,-574,-370
195,16.304367832804825,-16,4826,2711,-60,2392,2761,-2933,-2555,7415,-7708,-7553,237,-7464,112,6236,6014,-226
196,16.371365645360285,114,-7212,6384,-7738,-3343,4315,-3031,-2216,-4659,63,5891,253,-4478,-47,-7899,-7975,-7009
197,16.44261261704325,-104,-4428,1550,6122,3378,-3737,7506,-2346,-2505,2586,-7737,48,-1940,-63,7469,-3990,4373
198,16.510289114737134,-65,904,5049,-6873,-3626,3910,-4519,-3330,7216,-992,-3948,126,6640,-1,923,-2763,-543
199,16.58232425069868,-103,-1597,-3073,2523,-5129,-1051,4384,6534,-3797,3374,-7050,224,3876,49,2500,-1875,2956
200,16.655938708787627,84,4542,1432,2612,5523,-4937,6673,401,5852,-6875,5777,105,-2246,-72,-6322,-4852,637
201,16.729231999555243,-56,-7797,-4162,-8131,4883,-1912,3728,-3448,-7955,-1245,4056,241,-6593,-77,-6826,150,-2071
202,16.801733704821146,-103,2504,6129,-7416,2385,-436,-6138,-5071,24,-2038,-942,249,2459,-13,2347,-3393,3147
203,16.871642978260265,21,-1791,2018,1835,3129,7887,214,-4340,-839,1145,2749,21,1502,66,2206,2470,1182
204,16.937563960835547,116,-5203,3108,7055,1017,-7211,-1478,-2741,3683,6144,5258,38,96,-50,280,-133,-754
205,17.01171897217904,102,-822,5050,-2611,-6260,7087,-1513,-3700,4810,-1290,-834,62,244,17,-569,-7538,6025
206,17.087082530593218,-71,4111,4616,-5732,-260,5054,-1648,7478,863,7434,3140,123,4465,147,-5327,1032,-6902
207,17.155162732616443,62,-7598,4627,-2367,968,-1528,-3840,-76,4063,1182,-1200,31,7154,-63,5640,-2100,7346
208,17.220623988333628,-23,7337,-3581,179,1217,-4339,-1859,6788,-5036,5421,1253,40,4225,-11,-4766,-6686,625
209,17.299069641135077,-72,-3698,-5826,-947,-3892,-6778,-4779,1482,-7563,2134,4007,36,4154,-104,157,-1148,-642
210,17.36577836033605,-62,-5659,5394,4050,-5187,5301,-4845,-4120,5262,3663,-2248,84,6848,-14,-2964,-5430,-107
211,17.446116804834187,-74,621,-1564,6955,5432,-6620,-173,-7309,3325,356,-5402,240,-5061,-72,5940,3710,6244
212,17.516364779363183,-13,-7212,-4714,2223,6220,3481,4592,-7172,3531,4948,-6047,54,4980,46,-3289,1720,-4828
213,17.583670929653238,96,7168,7764,1372,-1177,-5915,-7272,-7640,-6612,1014,3597,34,-3857,-43,-7629,-4070,-7838
